resort,lat,lon,altitude,north_south,east_west,1985-01,1985-02,1985-03,1985-12,2015-01,2015-02,2015-03,2015-12
mt-mcsauba,45.33590669,-85.24389964,228.0488739,north,midwest,16.09999965539395,16.100000381469727,16.06683197391015,15.877906057587968,16.100000381469727,16.100000381469727,16.09912990815584,16.051920490445227
powder-ridge,45.342999,-94.305864,343.8822021,north,midwest,16.100000381469727,16.100000381469727,10.27403851817878,16.100000381469727,16.100000381469727,16.100000381469727,12.702044886612756,16.099992289657138
trollhaugen,45.350524,-92.618293,317.7219849,north,midwest,16.100000381469727,16.100000381469727,11.67434666682194,16.100000381469727,16.100000381469727,16.100000381469727,15.094992741134933,16.09999656677246
mt-jefferson,45.357175,-68.283803,176.0301819,north,east,16.100000381469727,16.0999935414797,16.09740662759908,16.099951717250963,16.100000381469727,16.100000381469727,16.099940438109265,16.099419923615965
petoskey-winter-sports-park,45.37592393,-84.94405574,242.2195435,north,midwest,16.10000038146973,16.10000038146973,16.060993755344953,16.04862535598708,16.10000038146973,16.10000038146973,16.098870703044128,16.088472615733263
cooper-spur,45.412184,-121.60537,996.3890991,north,west,4.181217014226546,13.237673328041481,2.4547844376264294,15.944762577793385,0.065757100854812,0.007700616994075246,0.00033218891467804844,1.7297788971423138
maverick-mountain,45.434528,-113.127402,1862.032349,north,rockies,16.099992086810467,16.100000381469727,16.0995058422744,16.100000048960815,16.045046394912905,16.094815708564887,13.474263446582082,16.099942318854925
the-highlands-at-harbor-springs,45.470846,-84.937085,231.9043579,north,midwest,16.10000038146973,16.10000038146973,16.08378806293037,16.08522784174138,16.10000038146973,16.10000038146973,16.099656700120256,16.096225878445374
nubs-nob-ski-area,45.471154,-84.904158,231.436615,north,midwest,16.100000381469727,16.100000381469727,16.08063270371792,16.087181743870314,16.100000381469727,16.100000381469727,16.099581451431106,16.09619878380029
wild-mountain,45.4887,-92.70586,315.167572,north,midwest,16.100000381469727,16.100000381469727,11.083884154716625,16.100000381469727,16.100000381469727,16.100000381469727,15.114014540792228,16.099998474121094
big-squaw,45.506484,-69.700895,448.6278381,north,east,16.100000381469727,16.09999818803319,16.09959557623938,16.09995946133073,16.100000381469727,16.100000381469727,16.099991931426693,16.099901807537965
christie-mountain,45.50866119,-91.38033523,365.6036072,north,midwest,16.100000381469727,16.100000381469727,15.358780034104836,16.100000381469727,16.100000381469727,16.100000381469727,15.850842744955536,16.099996981052463
camp-10,45.550091,-89.503724,462.2684631,north,midwest,16.100000381469727,16.100000381469727,16.041215904212834,16.100000381469727,16.100000381469727,16.100000381469727,16.094139957514216,16.099998474121094
lost-trail-powder-mountain,45.691708,-113.953016,1815.1604,north,rockies,16.099996085326254,16.100000381469727,16.09957420931928,16.100000381469727,16.085847456415422,16.092642720898723,13.418388405865219,16.09994603149938
spout-springs,45.759821,-118.050838,1026.496094,north,west,16.077175279085747,16.099240120427133,15.102045211605095,16.099713062549423,6.043132610501499,1.7666882925431224,0.022889058801509675,15.095095033276978
norway-mountain,45.794522,-87.868369,324.9125061,north,midwest,16.100000381469727,16.100000381469727,16.07212128724485,16.100000381469727,16.100000381469727,16.100000381469727,16.097849060378635,16.09999044373439
bridger-bowl-bozeman,45.817263,-110.897402,2010.507446,north,rockies,16.0999968293833,16.09999929553362,16.089174878035614,16.09998699453657,16.007120734907694,16.081861912339697,3.370571803232072,16.097581217852095
pine-mountain,45.838577,-88.089055,365.1357117,north,midwest,16.100000381469723,16.100000381469723,16.081915073736248,16.100000381469723,16.100000381469723,16.100000381469723,16.098032317312914,16.099993899612237
andes-tower-hills,45.8506405,-95.62988298,371.9991455,north,midwest,16.10000038146973,16.10000038146973,12.504557657676537,16.10000038146973,16.10000038146973,16.10000038146973,13.74300191227811,16.09999656677246
john-melissa-besse-sports-park-gladstone,45.86027694,-87.03855111,214.9266052,north,midwest,16.100000381469727,16.100000381469727,16.088739684953378,16.099962141592247,16.100000381469727,16.100000381469727,16.09959115500298,16.099852882070486
snowhaven,45.867713,-116.089581,930.7156982,north,rockies,16.008911641128588,16.09201853937293,8.120440569942218,16.09652800889633,1.284271675389976,0.3104725417613692,0.0016244716594044182,9.838030150076833
keyes-peak,45.89538905,-88.29941793,408.0291138,north,midwest,16.100000381469727,16.100000381469727,16.086383276830393,16.100000381469727,16.100000381469727,16.100000381469727,16.09896100486231,16.09999656677246
