resort,lat,lon,altitude,north_south,east_west
bolton-valley,44.41053296,-72.8641005,332.383606,north,east
standing-rocks,44.433981,-89.398992,312.7614441,north,midwest
bruce-mound,44.44555532,-90.78586541,330.8987427,north,midwest
mount-prospect-lancaster,44.456847,-71.575145,350.4570313,north,east
winter-park-kewaunee-county,44.460802,-87.559102,169.7023926,north,midwest
chipmunk,44.47106315,-114.32299,2140.669189,north,rockies
sunday-river,44.473126,-70.857466,299.7663574,north,east
spruce-mountain-jay,44.478835,-70.202974,266.9728699,north,east
sleeping-giant,44.491871,-109.940844,2443.318604,north,rockies
triangle-sports-area-green-bay,44.509919,-87.950379,223.7333374,north,midwest
stowe,44.510799,-72.767531,308.2648315,north,east
crystal-mountain-mi,44.519979,-85.992254,220.5259705,north,midwest
powers-bluff,44.532432,-90.071524,345.4717712,north,midwest
lyndon-outing-club,44.532482,-71.986612,390.1004944,north,east
welch-village,44.559924,-92.730403,342.0653992,north,midwest
smugglers-notch,44.571821,-72.776163,288.9397278,north,east
black-mountain-rumford,44.576797,-70.614249,322.3614807,north,east
burke-mountain,44.587808,-71.91537,390.2209778,north,east
navarino-hills,44.609696,-88.584587,284.7875977,north,midwest
antelope-butte,44.61150867,-107.5152067,1614.55542,north,rockies
hanson-hills,44.645248,-84.753362,284.3913269,north,midwest
titcomb-mountain,44.649925,-70.171443,324.2077942,north,east
tamarack-resort,44.673212,-116.12226,1985.652222,north,rockies
buck-hill-ski-area,44.723677,-93.283024,322.9354858,north,midwest
mt-holiday,44.743033,-85.514247,242.2288361,north,midwest
titus-mountain,44.7632066,-74.23474594,273.2634583,north,east
beartown,44.764355,-73.58446,246.6522217,north,east
eaton-mountain,44.767661,-69.618501,244.6932678,north,east
hermon-mountain,44.780186,-68.957127,65.71356201,north,east
pinnacle-park-pittsfield,44.795865,-69.38814,183.5459442,north,east
hardack-aldis-hill-st-albans,44.81529606,-73.06707555,167.4766083,north,east
hyland-hills,44.843263,-93.364134,315.2384033,north,midwest
pinehurst-park-eau-claire,44.85296344,-91.45281491,342.3616638,north,midwest
afton-alps,44.857297,-92.788883,324.2003784,north,midwest
the-balsams,44.860744,-71.325919,430.1047363,north,east
the-homestead-resort,44.91633521,-85.96477941,171.4203949,north,midwest
little-ski-hill,44.929101,-116.164289,2101.467285,north,rockies
granite-peak-at-rib-mountain-state-park,44.929393,-89.683864,393.0180054,north,midwest
jay-peak,44.938861,-72.505903,260.7736206,north,east
shanty-creek-resorts-schuss-mountain,44.942186,-85.133018,271.2694397,north,midwest
shanty-creek-resorts-summit-mountain,44.946094,-85.19083,263.8448181,north,midwest
saddleback,44.946892,-70.526025,444.6167603,north,east
anthony-lakes-mountain-resort,44.963917,-118.234736,1063.820557,north,west
beartooth-basin,44.975442,-109.433085,1827.071899,north,rockies
brundage-mountain,45.004383,-116.15546,2143.369873,north,rockies
otsego-gaylord,45.035936,-84.649282,267.3752747,north,midwest
treetops,45.037378,-84.585602,264.7745972,north,midwest
sugarloaf,45.053814,-70.310322,454.2854919,north,east
boyne-mountain,45.164051,-84.93238,264.6724243,north,midwest
red-lodge-mountain,45.190566,-109.336904,1652.794678,north,rockies
challenge-mountain-walloon-lake,45.23758692,-84.88060285,255.4062347,north,midwest
yellowstone-club,45.241393,-111.411737,2265.653564,north,rockies
kettlebowl,45.271773,-88.900065,409.4216614,north,midwest
ferguson-ridge,45.2819394,-117.1127028,1360.447388,north,west
big-sky-resort,45.28322097,-111.4013082,2252.742432,north,rockies
mt-hood-skibowl,45.300773,-121.7734,988.758667,north,west
timberline-summit-pass,45.303324,-121.745765,989.8406982,north,west
paul-bunyan-ski-hill,45.3249458,-88.52433374,353.6364136,north,midwest
timberline,45.330953,-121.713493,991.1704102,north,west
mt-hood-meadows,45.333078,-121.665081,993.175293,north,west
mt-mcsauba,45.33590669,-85.24389964,228.0488739,north,midwest
powder-ridge,45.342999,-94.305864,343.8822021,north,midwest
trollhaugen,45.350524,-92.618293,317.7219849,north,midwest
mt-jefferson,45.357175,-68.283803,176.0301819,north,east
petoskey-winter-sports-park,45.37592393,-84.94405574,242.2195435,north,midwest
cooper-spur,45.412184,-121.60537,996.3890991,north,west
maverick-mountain,45.434528,-113.127402,1862.032349,north,rockies
