resort,lat,lon,altitude,north_south,east_west,1985-01,1985-02,1985-03,1985-12,2015-01,2015-02,2015-03,2015-12
mulligans-hollow-ski-bowl,43.057605,-86.240105,161.6474457,north,midwest,196.95240007405363,246.479794346831,372.1322567575478,116.89407110243809,189.8426289490811,192.70825734090732,242.20679474623722,
pando-park,43.082479,-85.469172,216.7866211,north,midwest,211.71214282066978,252.30531273042385,339.4538519552076,138.5962302165863,201.4151257296363,223.80502453532134,276.04481265419025,165.6261574106581
blackhawk-ski-club-middleton,43.082742,-89.570114,304.4972229,north,midwest,161.94189908042623,204.5502291510873,185.38132947194754,123.07587214042498,126.69662412032122,196.02210887693008,268.009832291943,171.72838816697728
royal-mountain,43.084271,-74.503495,231.1495667,north,east,150.28196609401002,219.71754075608766,254.3169502512345,198.53024554073482,207.00028286863392,206.30327208940048,308.279624323934,216.61125451368912
val-bialas-ski-center-utica,43.084299,-75.250423,198.052002,north,east,138.33976259367742,214.90858081000158,252.0649664824567,156.37045919780513,163.00985915605042,183.48436578941215,293.7635533388647,180.47219950348938
stratton,43.113359,-72.908996,624.5422363,north,east,139.7843867177518,209.38164066892884,219.99136949749692,169.82129038561195,152.0297877237093,192.8509240111699,293.32966533617923,224.56723182559637
ausblick-sussex,43.133836,-88.264724,238.7424927,north,midwest,177.57239709673112,223.00913340805548,207.08327969477202,121.67976605333732,139.84602498818995,207.6027096587657,253.197419365458,167.80653190799828
brantling,43.149149,-77.065583,150.5948029,north,east,147.46903202214747,230.92779338255627,169.66520522783506,134.74296119657015,164.2866223832334,191.7142262711616,296.1526723413127,149.73941582574923
pats-peak,43.163171,-71.796016,293.5978088,north,east,168.41359937729413,226.5814788786972,252.1912451367415,195.4341220961765,178.895655122353,202.52650079074238,344.52798196952773,243.82057305049958
mt-bailey,43.17716428,-122.137158,1474.36438,north,west,413.69208822713216,370.52567755043907,377.3718364914424,326.2562251826247,288.8301948384598,197.07773196934068,180.74413165993099,202.87979916018128
magic-mountain,43.202075,-72.771769,571.6073608,north,east,158.92582717053995,212.91359855403368,226.9201509147407,192.154740771293,252.30798706319806,226.03841420309976,358.5876177069463,244.76153114774164
bromley-mountain,43.21308389,-72.9356396,615.5667114,north,east,152.82788918327876,207.8978768049036,226.47938628561366,172.82822824932174,166.08512645570892,193.66685880438297,310.42463150686723,217.88254491218984
powderhouse-hill-south-berwick,43.237044,-70.80223,30.6509552,north,east,166.37353334206338,221.82792375813273,226.8045256962497,161.96261174592217,133.94174599663333,214.920451158026,365.9159422909579,214.6929436537862
heiliger-huegel-hubertus,43.252327,-88.31075,240.7485809,north,midwest,174.03067687618864,220.07160682229406,213.45522803414332,120.79709351026817,141.40213213863728,209.16447681109585,255.4919965772036,184.40335900630333
west-mountain,43.286523,-73.726314,416.4883728,north,east,158.4915087338328,207.97519187771297,214.6402814584948,181.47253239583196,172.3889398900101,189.3781049541086,300.95398385538124,207.8995625328388
woods-valley,43.30176915,-75.38353483,245.513504,north,east,149.12957416146708,241.18717543804885,310.22792508343866,170.98958280284754,173.46793995379747,197.53898691867343,310.98503592696346,168.96277666394926
mt-sunapee,43.330009,-72.080424,376.9044189,north,east,160.96504864684943,216.99373438688463,200.17339439812267,176.90135741358333,183.0640431288411,208.08796951755227,336.2665696274136,239.30781334386018
little-switzerland,43.338279,-88.27902,240.89534,north,midwest,173.35330476358558,218.585922324788,206.74953050264844,119.92579115468115,140.15902571708742,203.27575372717584,250.15441230180346,181.5815026362451
fox-hill,43.374678,-88.252262,240.8696136,north,midwest,173.4578739268514,216.9844016032866,204.99939265696074,118.30231582225834,140.65598895161114,201.3201493169331,251.35780822336764,185.23814394372678
okemo,43.402358,-72.717696,530.6964722,north,east,167.47131635131598,220.1253779295408,230.8512647401668,190.91662840990034,275.02173087878185,245.5727219385766,367.46330176833436,251.61989248274938
devils-head,43.419135,-89.626604,290.3431702,north,midwest,154.7602156198246,197.80345682590104,204.35030861557465,133.56929157902366,135.3440997602915,186.77937667177662,250.57252897552962,169.9870684246887
veterans-memorial-franklin,43.444855,-71.690924,272.2438049,north,east,197.86180340572866,252.22365637898557,203.60908677193783,203.79998049045162,196.51049950639583,204.27007744498357,346.4586138891025,247.27161435419097
ascutney-mountain,43.464308,-72.465321,464.3943176,north,east,167.7080109336222,226.10713431333642,191.88611260189762,178.72087099055673,226.47405477678504,212.29940931719707,348.4347556236713,237.19036096843746
snow-king-mountain-jackson,43.47259049,-110.7607455,2040.400513,north,rockies,255.97690791694384,268.97637650030003,327.01856784088966,190.96822528406562,233.9696642066273,307.44141660683135,316.8679915035389,172.1004520066859
hickory,43.475747,-73.816339,446.2809448,north,east,181.58050653766068,220.77340498302883,209.13951842047507,196.7851225481975,260.9096184951787,221.4125165375808,350.10192145039395,240.44583853651858
ragged-mountain,43.484491,-71.84254,314.551239,north,east,195.32804303214667,248.10748667949474,204.21720664700507,194.79126553267693,248.53598004687203,225.31381786506105,373.5722776559825,254.58516655808444
soldier-mountain,43.484664,-114.829039,1825.451782,north,rockies,386.59910247266146,322.35750182639117,309.62434899387665,274.2841610605172,273.4427094645661,242.36386088374076,309.8313298546186,199.91419904067874
sunburst,43.493317,-88.222792,241.8703766,north,midwest,169.62599632459708,212.8195581425127,196.2138961816676,114.80986237648025,140.90896169935147,200.5336297024111,240.72840064764296,194.76274360158325
rotarun,43.497159,-114.365479,1757.111206,north,rockies,372.2394287787794,272.6701458590635,204.6907735461631,240.15396563054418,192.00690855398125,229.44577613286964,,153.78557045641764
cascade-mountain,43.503414,-89.51834,278.963623,north,midwest,153.67014705498323,193.23439972246908,205.666059970543,136.08115102445828,130.32567805936307,189.11631003482313,235.7133313849732,157.97875083258666
blizzard-mountain,43.50799538,-113.5596635,1848.158325,north,rockies,311.4733922957449,248.4217111433585,143.45465139892826,207.3584889470099,149.14497447518139,160.44477283136837,129.29399513539653,126.23222546174631
oak-mountain,43.514407,-74.360834,415.0556946,north,east,223.91293573922988,248.32881018553252,324.4483281683221,207.576339472227,251.47019400258043,227.54442529756108,339.3646757930621,220.4178823643383
gunstock,43.540585,-71.366086,190.3946381,north,east,175.86814885086716,221.8213618957513,173.88077886194387,170.24269683307622,132.01716322659183,194.58315178726113,303.2607937108675,212.5193992761772
great-bear-ski-valley,43.577802,-96.665145,456.2147217,north,midwest,152.74388953765072,197.4272004657811,273.5404606354685,137.62022243992064,160.3092962688714,111.73429647325162,121.42258255776967,134.90689203969907
jackson-hole,43.588652,-110.828308,2033.900269,north,rockies,320.368525261892,314.1575946754474,349.51198284811016,234.7169584642338,321.1352959510613,349.1332685369855,456.4629124319,267.82085726186176
