resort,url,maps_url,lat,lon,altitude,beg,int,adv
howelsen-hill-steamboat-springs,https://www.skiresort.info/ski-resort/howelsen-hill-steamboat-springs/,"https://www.google.com/maps?q=40.482381,-106.836677",40.482381,-106.836677,2748.606934,42,37,21
bowes-ski-hill-steamboat-springs,https://www.skiresort.info/ski-resort/bowes-ski-hill-steamboat-springs/,"https://www.google.com/maps?q=40.501853,-106.824117",40.501853,-106.824117,2738.178223,,100,
snowbird,https://www.skiresort.info/ski-resort/snowbird/,"https://www.google.com/maps?q=40.581069,-111.656408",40.581069,-111.656408,1770.218018,27,38,35
powderbird,https://www.skiresort.info/ski-resort/powderbird/,"https://www.google.com/maps?q=40.58419214756711,-111.65081557503343",40.58419215,-111.6508156,1775.51001,,,
alta,https://www.skiresort.info/ski-resort/alta/,"https://www.google.com/maps?q=40.58859040,-111.6388612",40.5885904,-111.6388612,1787.467651,15,30,55
brighton,https://www.skiresort.info/ski-resort/brighton/,"https://www.google.com/maps?q=40.597279,-111.584406",40.597279,-111.584406,1845.142944,21,40,39
solitude,https://www.skiresort.info/ski-resort/solitude/,"https://www.google.com/maps?q=40.623517,-111.59829",40.623517,-111.59829,1822.167114,10,40,50
deer-valley,https://www.skiresort.info/ski-resort/deer-valley/,"https://www.google.com/maps?q=40.63796042111,-111.478661658615",40.63796042,-111.4786617,1949.758057,40,42,18
snow-trails,https://www.skiresort.info/ski-resort/snow-trails/,"https://www.google.com/maps?q=40.672389,-82.500281",40.672389,-82.500281,271.6958313,28,53,19
park-city,https://www.skiresort.info/ski-resort/park-city/,"https://www.google.com/maps?q=40.687874,-111.547327",40.687874,-111.547327,1859.379883,8,42,50
utah-olympic-park,https://www.skiresort.info/ski-resort/utah-olympic-park/,"https://www.google.com/maps?q=40.711080,-111.563218",40.71108,-111.563218,1835.119629,,68,32
ruby-mountain,https://www.skiresort.info/ski-resort/ruby-mountain/,"https://www.google.com/maps?q=40.729991,-115.469852",40.729991,-115.469852,1837.449707,,,
woodward-park-city,https://www.skiresort.info/ski-resort/woodward-park-city/,"https://www.google.com/maps?q=40.753737,-111.584263",40.753737,-111.584263,1799.601074,60,40,
tussey-mountain,https://www.skiresort.info/ski-resort/tussey-mountain/,"https://www.google.com/maps?q=40.769522387297386,-77.75286830368721",40.76952239,-77.7528683,368.4231873,50,40,10
big-snow-american-dream,https://www.skiresort.info/ski-resort/big-snow-american-dream/,"https://www.google.com/maps?q=40.809339,-74.070994",40.809339,-74.070994,27.93882942,60,40,
blue-mountain,https://www.skiresort.info/ski-resort/blue-mountain/,"https://www.google.com/maps?q=40.820998,-75.513366",40.820998,-75.513366,275.6321106,56,33,11
elko-snobowl,https://www.skiresort.info/ski-resort/elko-snobowl/,"https://www.google.com/maps?q=40.908635,-115.854054",40.908635,-115.854054,1876.233643,50,50,
