resort,url,maps_url,lat,lon
lutsen-mountains,https://www.skiresort.info/ski-resort/lutsen-mountains/,"https://www.google.com/maps?q=47.663815749764886,-90.71366514492281",47.663815749764886,-90.71366514492281
wenatchee-mission-ridge,https://www.skiresort.info/ski-resort/wenatchee-mission-ridge/,"https://www.google.com/maps?q=47.29181171211853,-120.39976092019921",47.29181171211853,-120.39976092019921
eldora-mountain,https://www.skiresort.info/ski-resort/eldora-mountain/,"https://www.google.com/maps?q=39.937995,-105.584643",39.937995,-105.584643
bromley-mountain,https://www.skiresort.info/ski-resort/bromley-mountain/,"https://www.google.com/maps?q=43.2130838907531,-72.93563959765565",43.2130838907531,-72.93563959765565
brundage-mountain,https://www.skiresort.info/ski-resort/brundage-mountain/,"https://www.google.com/maps?q=45.004383,-116.15546",45.004383,-116.15546
white-pass,https://www.skiresort.info/ski-resort/white-pass/,"https://www.google.com/maps?q=46.637548,-121.390064",46.637548,-121.390064
pico-mountain,https://www.skiresort.info/ski-resort/pico-mountain/,"https://www.google.com/maps?q=43.660762,-72.843712",43.660762,-72.843712
cranmore-mountain-resort,https://www.skiresort.info/ski-resort/cranmore-mountain-resort/,"https://www.google.com/maps?q=44.057484,-71.109535",44.057484,-71.109535
powderhorn,https://www.skiresort.info/ski-resort/powderhorn/,"https://www.google.com/maps?q=39.06923,-108.150219",39.06923,-108.150219
lost-trail-powder-mountain,https://www.skiresort.info/ski-resort/lost-trail-powder-mountain/,"https://www.google.com/maps?q=45.691708,-113.953016",45.691708,-113.953016
donner-ski-ranch,https://www.skiresort.info/ski-resort/donner-ski-ranch/,"https://www.google.com/maps?q=39.31810550283003,-120.33076822757721",39.31810550283003,-120.33076822757721
sundance,https://www.skiresort.info/ski-resort/sundance/,"https://www.google.com/maps?q=40.391418,-111.57893",40.391418,-111.57893
mad-river-glen,https://www.skiresort.info/ski-resort/mad-river-glen/,"https://www.google.com/maps?q=44.202282,-72.918033",44.202282,-72.918033
