resort,url
afton-alps,https://www.skiresort.info/ski-resort/afton-alps/
mont-avalanche,https://www.skiresort.info/ski-resort/mont-avalanche/
spring-mountain,https://www.skiresort.info/ski-resort/spring-mountain/
fairmont-hot-springs,https://www.skiresort.info/ski-resort/fairmont-hot-springs/
mont-saint-mathieu,https://www.skiresort.info/ski-resort/mont-saint-mathieu/
white-hills,https://www.skiresort.info/ski-resort/white-hills/
silver-summit,https://www.skiresort.info/ski-resort/silver-summit/
hidden-valley-ab,https://www.skiresort.info/ski-resort/hidden-valley-ab/
roundtop,https://www.skiresort.info/ski-resort/roundtop/
mt-la-crosse,https://www.skiresort.info/ski-resort/mt-la-crosse/
mt-lemmon-ski-valley,https://www.skiresort.info/ski-resort/mt-lemmon-ski-valley/
mount-jamieson-timmins,https://www.skiresort.info/ski-resort/mount-jamieson-timmins/
sitzmark,https://www.skiresort.info/ski-resort/sitzmark/
norway-mountain,https://www.skiresort.info/ski-resort/norway-mountain/
mont-belu,https://www.skiresort.info/ski-resort/mont-belu/
las-vegas-ski-and-snowboard-resort-lee-canyon,https://www.skiresort.info/ski-resort/las-vegas-ski-and-snowboard-resort-lee-canyon/
mount-baldy-thunder-bay,https://www.skiresort.info/ski-resort/mount-baldy-thunder-bay/
cataloochee,https://www.skiresort.info/ski-resort/cataloochee/
laurel-mountain,https://www.skiresort.info/ski-resort/laurel-mountain/
welch-village,https://www.skiresort.info/ski-resort/welch-village/
caledon-ski-club,https://www.skiresort.info/ski-resort/caledon-ski-club/
vallee-du-parc,https://www.skiresort.info/ski-resort/vallee-du-parc/
misery-mountain,https://www.skiresort.info/ski-resort/misery-mountain/
calabogie-peaks,https://www.skiresort.info/ski-resort/calabogie-peaks/
ochapowace,https://www.skiresort.info/ski-resort/ochapowace/
mont-video,https://www.skiresort.info/ski-resort/mont-video/
mont-kanasuta,https://www.skiresort.info/ski-resort/mont-kanasuta/
ober-gatlinburg,https://www.skiresort.info/ski-resort/ober-gatlinburg/
boler-mountain-london,https://www.skiresort.info/ski-resort/boler-mountain-london/
