resort,url,maps_url,lat,lon,altitude,beg,int,adv,geometry
heavenly,https://www.skiresort.info/ski-resort/heavenly/,"https://www.google.com/maps?q=38.956864,-119.942636",38.956864,-119.942636,1867.478394,19.0,45.0,36.0,POINT (-119.94262588569173 38.95685800703439)
canaan-valley,https://www.skiresort.info/ski-resort/canaan-valley/,"https://www.google.com/maps?q=39.00730330585612,-79.43718959609882",39.00730331,-79.4371896,529.6520386,30.0,40.0,30.0,POINT (-79.43718958987604 39.007303370777485)
timberline-mountain,https://www.skiresort.info/ski-resort/timberline-mountain/,"https://www.google.com/maps?q=39.042424,-79.400341",39.042424,-79.400341,522.1775513,34.0,33.0,33.0,POINT (-79.40034112997368 39.04242418671095)
powderhorn,https://www.skiresort.info/ski-resort/powderhorn/,"https://www.google.com/maps?q=39.06923,-108.150219",39.06923,-108.150219,2745.642578,13.0,39.0,48.0,POINT (-108.15021669066084 39.06922823358443)
homewood-mountain-resort,https://www.skiresort.info/ski-resort/homewood-mountain-resort/,"https://www.google.com/maps?q=39.084521326557265,-120.16120970249176",39.08452133,-120.1612097,1692.492188,30.0,65.0,5.0,POINT (-120.16120152156272 39.08451685374302)
inside-ski-training-center-leesburg,https://www.skiresort.info/ski-resort/inside-ski-training-center-leesburg/,"https://www.google.com/maps?q=39.107882,-77.564435",39.107882,-77.564435,263.6479492,100.0,,,POINT (-77.56443696438056 39.10788159527394)
perfect-north-slopes,https://www.skiresort.info/ski-resort/perfect-north-slopes/,"https://www.google.com/maps?q=39.146957,-84.885601",39.146957,-84.885601,222.3733673,40.0,40.0,20.0,POINT (-84.88560347847451 39.146957591800536)
granlibakken,https://www.skiresort.info/ski-resort/granlibakken/,"https://www.google.com/maps?q=39.154632,-120.154231",39.154632,-120.154231,1701.19812,50.0,50.0,,POINT (-120.15422320920366 39.15462800177991)
aspen-highlands,https://www.skiresort.info/ski-resort/aspen-highlands/,"https://www.google.com/maps?q=39.180942,-106.855913",39.180942,-106.855913,3097.550781,18.0,30.0,52.0,POINT (-106.85591434862633 39.1809402214381)
aspen-mountain,https://www.skiresort.info/ski-resort/aspen-mountain/,"https://www.google.com/maps?q=39.186354,-106.818230",39.186354,-106.81823,3085.351563,,48.0,52.0,POINT (-106.81823129221948 39.186352123929055)
palisades-tahoe,https://www.skiresort.info/ski-resort/palisades-tahoe/,"https://www.google.com/maps?q=39.195861,-120.23533",39.195861,-120.23533,1609.126831,26.0,42.0,32.0,POINT (-120.23532256236462 39.1958579856488)
