resort,url,maps_url,lat,lon,altitude
whiteface-lake-placid,https://www.skiresort.info/ski-resort/whiteface-lake-placid/,"https://www.google.com/maps?q=44.357867,-73.859582",44.357867,-73.859582,451.48040771484375
yellowstone-club,https://www.skiresort.info/ski-resort/yellowstone-club/,"https://www.google.com/maps?q=45.241393,-111.411737",45.241393,-111.411737,2265.653564453125
northstar-california-resort,https://www.skiresort.info/ski-resort/northstar-california-resort/,"https://www.google.com/maps?q=39.274109,-120.119721",39.274109,-120.119721,1738.8238525390625
le-massif-de-charlevoix,https://www.skiresort.info/ski-resort/le-massif-de-charlevoix/,"https://www.google.com/maps?q=47.278890,-70.610519",47.27889,-70.610519,260.07684326171875
mt-norquay-banff,https://www.skiresort.info/ski-resort/mt-norquay-banff/,"https://www.google.com/maps?q=51.204706,-115.599368",51.204706,-115.599368,1850.127197265625
castle-mountain,https://www.skiresort.info/ski-resort/castle-mountain/,"https://www.google.com/maps?q=49.318643,-114.41536",49.318643,-114.41536,1607.7572021484375
schweitzer-mountain-resort,https://www.skiresort.info/ski-resort/schweitzer-mountain-resort/,"https://www.google.com/maps?q=48.368246,-116.623607",48.368246,-116.623607,1183.0325927734375
stratton,https://www.skiresort.info/ski-resort/stratton/,"https://www.google.com/maps?q=43.113359,-72.908996",43.113359,-72.908996,624.542236328125
june-mountain,https://www.skiresort.info/ski-resort/june-mountain/,"https://www.google.com/maps?q=37.767891,-119.090585",37.767891,-119.090585,1925.33447265625
arapahoe-basin,https://www.skiresort.info/ski-resort/arapahoe-basin/,"https://www.google.com/maps?q=39.641486,-105.87231",39.641486,-105.87231,2733.3173828125
mt-hood-meadows,https://www.skiresort.info/ski-resort/mt-hood-meadows/,"https://www.google.com/maps?q=45.333078,-121.665081",45.333078,-121.665081,993.17529296875
taos,https://www.skiresort.info/ski-resort/taos/,"https://www.google.com/maps?q=36.594168,-105.449465",36.594168,-105.449465,2368.36376953125
aspen-mountain,https://www.skiresort.info/ski-resort/aspen-mountain/,"https://www.google.com/maps?q=39.186354,-106.818230",39.186354,-106.81823,3085.3515625
whitefish-mountain-resort,https://www.skiresort.info/ski-resort/whitefish-mountain-resort/,"https://www.google.com/maps?q=48.484071,-114.353785",48.484071,-114.353785,1381.5926513671875
sugarloaf,https://www.skiresort.info/ski-resort/sugarloaf/,"https://www.google.com/maps?q=45.053814,-70.310322",45.053814,-70.310322,454.2854919433594
sugarbush,https://www.skiresort.info/ski-resort/sugarbush/,"https://www.google.com/maps?q=44.135287,-72.89625",44.135287,-72.89625,428.9192810058594
angel-fire,https://www.skiresort.info/ski-resort/angel-fire/,"https://www.google.com/maps?q=36.386512795005395,-105.27187724163403",36.3865127950054,-105.27187724163404,2298.625
homewood-mountain-resort,https://www.skiresort.info/ski-resort/homewood-mountain-resort/,"https://www.google.com/maps?q=39.084521326557265,-120.16120970249176",39.08452132655727,-120.16120970249176,1692.4921875
whitewater-nelson,https://www.skiresort.info/ski-resort/whitewater-nelson/,"https://www.google.com/maps?q=49.442801,-117.144937",49.442801,-117.144937,1758.4892578125
sierra-at-tahoe,https://www.skiresort.info/ski-resort/sierra-at-tahoe/,"https://www.google.com/maps?q=38.80058342532893,-120.07898891288043",38.80058342532893,-120.07898891288043,1739.3077392578125
wolf-creek,https://www.skiresort.info/ski-resort/wolf-creek/,"https://www.google.com/maps?q=37.472653,-106.794555",37.472653,-106.794555,2957.20751953125
purgatory-durango,https://www.skiresort.info/ski-resort/purgatory-durango/,"https://www.google.com/maps?q=37.629341,-107.814996",37.629341,-107.814996,2514.126708984375
cypress-mountain,https://www.skiresort.info/ski-resort/cypress-mountain/,"https://www.google.com/maps?q=49.397276,-123.203655",49.397276,-123.203655,557.3184814453125
le-mont-grand-fonds,https://www.skiresort.info/ski-resort/le-mont-grand-fonds/,"https://www.google.com/maps?q=47.771039,-70.102194",47.771039,-70.102194,301.4748229980469
bolton-valley,https://www.skiresort.info/ski-resort/bolton-valley/,"https://www.google.com/maps?q=44.410532961408045,-72.86410049773016",44.410532961408045,-72.86410049773016,332.38360595703125
sugar-bowl,https://www.skiresort.info/ski-resort/sugar-bowl/,"https://www.google.com/maps?q=39.30489,-120.33256",39.30489,-120.33256,1513.034912109375
jay-peak,https://www.skiresort.info/ski-resort/jay-peak/,"https://www.google.com/maps?q=44.938861,-72.505903",44.938861,-72.505903,260.77362060546875
okemo,https://www.skiresort.info/ski-resort/okemo/,"https://www.google.com/maps?q=43.402358,-72.717696",43.402358,-72.717696,530.6964721679688
mount-snow,https://www.skiresort.info/ski-resort/mount-snow/,"https://www.google.com/maps?q=42.966814,-72.89485",42.966814,-72.89485,627.5233764648438
apex-mountain-resort,https://www.skiresort.info/ski-resort/apex-mountain-resort/,"https://www.google.com/maps?q=49.38712,-119.896583",49.38712,-119.896583,1723.5262451171875
red-lodge-mountain,https://www.skiresort.info/ski-resort/red-lodge-mountain/,"https://www.google.com/maps?q=45.190566,-109.336904",45.190566,-109.336904,1652.794677734375
bear-valley,https://www.skiresort.info/ski-resort/bear-valley/,"https://www.google.com/maps?q=38.493096,-120.045478",38.493096,-120.045478,1698.4498291015625
powder-mountain,https://www.skiresort.info/ski-resort/powder-mountain/,"https://www.google.com/maps?q=41.383583,-111.776844",41.383583,-111.776844,1607.556640625
bretton-woods,https://www.skiresort.info/ski-resort/bretton-woods/,"https://www.google.com/maps?q=44.259573,-71.461719",44.259573,-71.461719,299.1827392578125
mt-rose,https://www.skiresort.info/ski-resort/mt-rose/,"https://www.google.com/maps?q=39.326679142826286,-119.88506019115448",39.326679142826286,-119.88506019115448,1819.4696044921875
smugglers-notch,https://www.skiresort.info/ski-resort/smugglers-notch/,"https://www.google.com/maps?q=44.571821,-72.776163",44.571821,-72.776163,288.9397277832031
49-degrees-north-mountain-resort,https://www.skiresort.info/ski-resort/49-degrees-north-mountain-resort/,"https://www.google.com/maps?q=48.301024,-117.56371",48.301024,-117.56371,1080.5693359375
alyeska-resort-girdwood,https://www.skiresort.info/ski-resort/alyeska-resort-girdwood/,"https://www.google.com/maps?q=60.97006173416786,-149.096449963103",60.97006173416786,-149.096449963103,745.7872924804688
